System,Dataset,Training fraction,Repeats,Average MAPE,Average MAE,Average RMSE
batlik,corona.csv,0.7,30,0.05,0.08,0.10
batlik,cranium.csv,0.7,30,0.02,0.04,0.06
batlik,cubus.csv,0.7,30,0.02,0.13,0.17
batlik,flame.csv,0.7,30,0.02,0.04,0.05
batlik,france.csv,0.7,30,0.02,0.08,0.11
batlik,frisco.csv,0.7,30,0.03,0.15,0.20
batlik,jelly.csv,0.7,30,0.06,0.11,0.16
batlik,karte.csv,0.7,30,0.05,0.55,0.69
batlik,mandelbrot.csv,0.7,30,0.02,0.03,0.04
batlik,strawberry.csv,0.7,30,0.03,0.05,0.06
batlik,village.csv,0.7,30,0.19,0.60,0.85
dconvert,jpeg-large.csv,0.7,30,0.05,0.17,0.22
dconvert,jpeg-medium.csv,0.7,30,0.04,0.07,0.09
dconvert,jpeg-small.csv,0.7,30,0.03,0.01,0.02
dconvert,png-large.csv,0.7,30,0.04,0.09,0.12
dconvert,png-medium.csv,0.7,30,0.03,0.02,0.02
dconvert,png-small.csv,0.7,30,0.03,0.01,0.02
dconvert,psd-large.csv,0.7,30,0.01,0.54,0.89
dconvert,psd-medium.csv,0.7,30,0.03,0.04,0.05
dconvert,psd-small.csv,0.7,30,0.03,0.02,0.02
dconvert,svg-large.csv,0.7,30,0.02,0.03,0.04
dconvert,svg-medium.csv,0.7,30,0.02,0.03,0.03
dconvert,svg-small.csv,0.7,30,0.02,0.01,0.02
h2,smallbank-1.csv,0.7,30,0.04,768.96,968.86
h2,smallbank-10.csv,0.7,30,0.03,337.76,442.97
h2,tpcc-2.csv,0.7,30,0.03,21.02,26.54
h2,tpcc-8.csv,0.7,30,0.20,107.12,170.20
h2,voter-16.csv,0.7,30,0.03,911.36,1120.40
h2,voter-2.csv,0.7,30,0.03,944.85,1157.65
h2,ycsb-2400.csv,0.7,30,0.05,656.43,835.62
h2,ycsb-600.csv,0.7,30,0.04,854.72,1106.51
jump3r,beethoven.wav.csv,0.7,30,0.18,1.70,2.33
jump3r,dual-channel.wav.csv,0.7,30,0.17,0.47,0.65
jump3r,helix.wav.csv,0.7,30,0.18,0.86,1.28
jump3r,single-channel.wav.csv,0.7,30,0.14,0.26,0.35
jump3r,speech.wav.csv,0.7,30,0.14,0.64,0.85
jump3r,sweep.wav.csv,0.7,30,0.09,0.06,0.08
kanzi,ambivert.csv,0.7,30,0.50,5.89,9.52
kanzi,artificl.csv,0.7,30,0.16,0.07,0.11
kanzi,deepfield.csv,0.7,30,5.84,6.47,9.98
kanzi,enwik8.csv,0.7,30,0.92,13.43,21.30
kanzi,fannie_mae_500k.csv,0.7,30,1.43,11.78,18.29
kanzi,large.csv,0.7,30,0.49,1.49,2.35
kanzi,misc.csv,0.7,30,0.16,0.14,0.21
kanzi,silesia.csv,0.7,30,1.02,27.91,43.99
kanzi,vmlinux.csv,0.7,30,9.45,54.97,77.20
lrzip,ambivert.wav.tar.csv,0.7,30,2.00,16.26,24.99
lrzip,artificl.tar.csv,0.7,30,12.67,1.18,1.37
lrzip,deepfield.tar.csv,0.7,30,1.97,15.88,24.13
lrzip,enwik8.tar.csv,0.7,30,1.36,21.14,30.03
lrzip,fannie_mae_500k.tar.csv,0.7,30,0.14,5.83,8.16
lrzip,large.tar.csv,0.7,30,1.07,2.42,3.18
lrzip,misc.tar.csv,0.7,30,2.55,1.20,1.43
lrzip,silesia.tar.csv,0.7,30,1.58,35.61,50.65
lrzip,uiq-32.bin.csv,0.7,30,2.60,58.98,83.07
lrzip,uiq2-16.bin.csv,0.7,30,2.36,32.89,47.07
lrzip,uiq2-4.bin.csv,0.7,30,1.52,7.92,11.65
lrzip,uiq2-8.bin.csv,0.7,30,1.86,16.29,23.41
lrzip,vmlinux-5.10.tar.csv,0.7,30,0.94,5.17,7.38
x264,blue_sky_1080p25_short.y4m.csv,0.7,30,0.30,1.69,2.76
x264,Johnny_1280x720_60_short.y4m.csv,0.7,30,0.34,1.39,2.29
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,0.7,30,0.30,4.68,7.61
x264,pedestrian_area_1080p25_short.y4m.csv,0.7,30,0.28,1.94,3.19
x264,riverbed_1080p25_short.y4m.csv,0.7,30,0.26,3.65,6.13
x264,sd_bridge_close_cif_short.y4m.csv,0.7,30,0.20,0.07,0.12
x264,sd_city_4cif_short.y4m.csv,0.7,30,0.32,0.79,1.29
x264,sd_crew_cif_short.y4m.csv,0.7,30,0.24,0.13,0.22
x264,sintel_trailer_2k_720p24_short.y4m.csv,0.7,30,0.21,0.20,0.33
xz,ambivert.wav.tar.csv,0.7,30,0.45,4.42,5.81
xz,artificl.tar.csv,0.7,30,0.29,0.01,0.01
xz,deepfield.tar.csv,0.7,30,0.21,1.98,2.77
xz,enwik8.tar.csv,0.7,30,0.69,27.64,43.31
xz,fannie_mae_500k.tar.csv,0.7,30,0.31,10.13,12.15
xz,large.tar.csv,0.7,30,0.15,0.63,1.30
xz,misc.tar.csv,0.7,30,0.09,0.04,0.06
xz,silesia.tar.csv,0.7,30,0.32,20.68,26.38
xz,uiq-32.bin.csv,0.7,30,0.41,27.80,41.17
xz,uiq2-16.bin.csv,0.7,30,0.37,12.48,20.61
xz,uiq2-4.bin.csv,0.7,30,0.20,1.48,2.06
xz,uiq2-8.bin.csv,0.7,30,0.29,4.81,8.30
xz,vmlinux-5.10.tar.csv,0.7,30,0.10,0.64,0.79
z3,AUFNIRA_z3.637557.smt2.csv,0.7,30,2.55,29.49,33.34
z3,LRA_formula_277.smt2.csv,0.7,30,0.04,0.11,0.11
z3,QF_AUFBV_891_sqlite3.smt2.csv,0.7,30,1.78,3.40,4.53
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,0.7,30,0.04,0.32,0.39
z3,QF_BV_bench_3176.smt2.csv,0.7,30,3.43,44.03,50.55
z3,QF_BV_bench_935.smt2.csv,0.7,30,5.89,31.05,32.38
z3,QF_LIA_tightrhombus.csv,0.7,30,0.24,0.20,0.27
z3,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,0.7,30,0.02,0.25,0.29
z3,QF_NRA_hong_9.smt2.csv,0.7,30,0.00,0.01,0.02
z3,QF_RDL_orb08_888.smt2.csv,0.7,30,0.01,0.10,0.12
z3,QF_UFLIA_xs_23_43.smt2.csv,0.7,30,0.12,2.70,3.28
z3,QF_UF_PEQ018_size6.smt2.csv,0.7,30,3.24,53.77,67.69
